,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
1029,ACC1129,1999-02-03,IRMA/Britten-Norman BN-2,Airlink,P2-ALH,11,11,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Hoskins Airport (HKN/AYHK), Papua New Guinea","Kandrian Airport (KDR), Papua New Guinea",near Kimbe (Papua New Guinea)
1031,ACC1131,1999-02-12,Beechcraft C99,Ameriflight,N205RA,1,1,Destroyed,En route (ENR),Cargo,"Tonopah Airport, NV (TPH/KTPH), United States of America","Bishop Airport, CA (BIH/KBIH), United States of America","29 km (18.1 mls) NE of Bishop Airport, CA (BIH) (United States of America)"
1035,ACC1135,1999-02-24,Tupolev TU-154,Southwest Air,B-2622,61,61,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Wenzhou Yongqiang Airport (WNZ/ZSWZ), China",Rui'an (China)
1038,ACC1138,1999-03-19,de Havilland Canada DHC-6,Provincial Airlines,C-FWLQ,1,2,Damaged beyond repair,Approach (APR),Cargo,"Goose Bay Airport, NL (YYR/CYYR), Canada","Davis Inlet Airport, NL (YDI), Canada","3,7 km (2.3 mls) from Davis Inlet Airport, NL (YDI) (Canada)"
1045,ACC1145,1999-05-29,Let L-410,Malindi Air Services,5Y-LET,2,2,Damaged beyond repair,Initial climb (ICL),Ferry/positioning,"Ol Kiombo, Kenya","Mara Shika Airstrip, Kenya",Ol Kiombo (Kenya)
1046,ACC1146,1999-06-01,McDonnell Douglas DC-9,American Airlines,N215AA,11,145,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Dallas/Fort Worth International Airport, TX (DFW/KDFW), United States of America","Little Rock National Airport, AR (LIT/KLIT), United States of America","Little Rock National Airport, AR (LIT) (United States of America)"
1048,ACC1148,1999-06-25,de Havilland Canada DHC-3,Blue Water Aviation Services,C-FIFP,1,2,Substantial,Initial climb (ICL),Test,"Long Haul Lake, MB, Canada","Long Haul Lake, MB, Canada","Long Haul Lake, MB (Canada)"
1059,ACC1159,1999-12-07,Let L-410,Asian Spirit,RP-C3883,17,17,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Manila International Airport (MNL/RPLL), Philippines","Cauayan Airport (CYZ/RPUY), Philippines",Kasibu (Philippines)
1067,ACC1167,2000-03-17,Douglas DC-3,Points North Air Services,C-FNTF,2,2,Damaged beyond repair,Landing (LDG),Cargo,"Points North Landing Airport, SK (YNL/CYNL), Canada","Ennadai Lake Airport, NU (CWJC), Canada","Ennadai Lake Airport, NU (YEI) (Canada)"
1070,ACC1170,2000-04-01,Cessna 208,Taxval,LV-ZSR,1,1,Damaged beyond repair,En route (ENR),Private,"Estancia Las Cruces, ER, Argentina","San Fernando Airport, BA (SADF), Argentina","near Gualeguaychú, ER (Argentina)"
1072,ACC1172,2000-05-10,Rockwell Sabreliner 65,Price Aircraft Company,N241H,6,6,Destroyed,Approach (APR),Executive,"Kahului Airport, HI (OGG/PHOG), United States of America","Molokai/Kaunakakai Airport, HI (MKK/PHMK), United States of America","5,3 km (3.3 mls) SW of Kaunakakai, HI (United States of America)"
1073,ACC1173,2000-05-17,Beechcraft 1900,Avirex,TR-LFK,3,10,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Libreville Airport (LBV/FOOL), Gabon","Moanda Airport (MFF/FOOD), Gabon",2 km (1.3 mls) NE of Moanda Airport (MFF) (Gabon)
1077,ACC1177,2000-06-22,Xian Yunshuji Y-7,Wuhan Airlines,B-3479,42,42,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Enshi Airport (ENH/ZHES), China","Wuhan Tianhe International Airport (WUH/ZHHH), China",ca 25 km from Wuhan (China)
1080,ACC1180,2000-07-27,de Havilland Canada DHC-6,Royal Nepal Airlines,9N-ABP,25,25,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Bajhang Airport (BJH/VNBG), Nepal","Dhangadhi Airport (DHI/VNDH), Nepal",Jarayakhali Hill (Nepal)
1081,ACC1181,2000-08-14,Cessna 208,RCMP-GRC Air Services,C-GMPB,2,2,Damaged beyond repair,Initial climb (ICL),Ferry/positioning,"Teslin Airport, YT (YZW/CYZW), Canada","Dease Lake Airport, BC (YDL/CYDL), Canada","Teslin Lake, BC (Canada)"
1082,ACC1182,2000-08-23,Airbus A320,Gulf Air,A4O-EK,143,143,Destroyed,Approach (APR),International Scheduled Passenger,"Cairo International Airport (CAI/HECA), Egypt","Bahrain International Airport (BAH/OBBI), Bahrain",2 km (1.3 mls) N off Bahrain International Airport (BAH) (Bahrain)
1083,ACC1183,2000-09-04,Beechcraft 200,Central Air,VH-SKC,8,8,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Perth Airport, WA (PER/YPPH), Australia","Leonora Airport, WA (LNO/YLEO), Australia","65 km (40.6 mls) ESE of Burketown, QLD (Australia)"
