Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
3060,30 Aug 1983,Tupolev Tu-134A,"Aeroflot, Privolzhsk Civil Aviation Directorate",90,36 km SW of Alma-Ata Airport (ALA),dst,KZ,,Almaty,43.34803,77.00907
3063,1 Sep 1983,Boeing 747-230B,Korean Air Lines - KAL,269,37 km W off Sakhalinsk [Okhotsk Sea],dst,US,,,38.89037,-77.03196
3070,23 Sep 1983,Boeing 737-2P6,Gulf Air,112,Mino Jebel Ali,dst,US,,,38.89037,-77.03196
3095,8 Nov 1983,Boeing 737-2M2,TAAG Angola Airlines,130,1 km from Lubango Airport (SDD),dst,US,,,38.89037,-77.03196
3106,27 Nov 1983,Boeing 747-283M,Avianca,181,12 km SE of Madrid-Barajas Airport (MAD),dst,US,,,38.89037,-77.03196
3108,28 Nov 1983,Fokker F-28 Fellowship 2000,Nigeria Airways,53,"3,3 km from Enugu Airport (ENU)",w/o,NG,EN,Enugu,6.47158,7.56497
3111,7 Dec 1983,McDonnell Douglas DC-9-32,Aviaco,83,Madrid-Barajas Airport (MAD),w/o,ES,MD,Madrid,40.45118,-3.59465
3112,7 Dec 1983,Boeing 727-256,Iberia,83,Madrid-Barajas Airport (MAD),w/o,ES,MD,Madrid,40.45118,-3.59465
3129,10 Jan 1984,Tupolev Tu-134A,Balkan Bulgarian Airlines,50,4 km from Sofia-Vrazhdebna Airport (SOF),w/o,BG,,Sofia,42.71234,23.41139
3269,18 Sep 1984,Douglas DC-8-55F,AECA - Aeroservicios Ecuatorianos,53,Quito-Mariscal Sucre Airport (UIO),w/o,EC,P,Quito,-0.20963,-78.51367
3287,11 Oct 1984,Tupolev Tu-154B-1,"Aeroflot, East Siberia Civil Aviation Directorate",178,Omsk Airport (OMS),dst,RU,,Omsk,54.95785,73.31794
3323,23 Dec 1984,Tupolev Tu-154B-2,"Aeroflot, Krasnoyarsk Civil Aviation Directorate",110,Krasnoyarsk Airport (KJA),dst,RU,,Krasnojarsk,56.01468,92.87089
3348,21 Jan 1985,Lockheed L-188A Electra,Galaxy Airlines,70,"3 km SE of Reno/Tahoe International Airport, NV (RNO)",dst,US,,,38.89037,-77.03196
3360,1 Feb 1985,Tupolev Tu-134AK,Aeroflot / Belarus,58,10 km E of Minsk-2 International Airport (MSQ),dst,ZA,,Tongaat,-29.61902,31.10386
3368,19 Feb 1985,Boeing 727-256,Iberia,148,30 km SE of Bilbao Airport (BIO),dst,ES,PV,Loiu,43.30633,-2.90791
3370,22 Feb 1985,Antonov An-24V,Air Mali,51,ca 3 km from Tombouctou Airport (TOM),dst,US,,,38.89037,-77.03196
3410,3 May 1985,Antonov An-26,Soviet Air Force,94,near Zolochiv,w/o,UA,,Zolochivskyi raion,49.80393,24.90422
3411,3 May 1985,Tupolev Tu-134A,Aeroflot / Estonia,94,near Zolochiv,dst,UA,,Zolochivskyi raion,49.80393,24.90422
3443,23 Jun 1985,Boeing 747-237B,Air-India,329,"176 km W off Cork, Ireland",dst,IE,,Cork,51.8705,-8.46194
3460,10 Jul 1985,Tupolev Tu-154B-2,Aeroflot / Uzbekistan,200,near Uchkuduk,dst,RU,,Dombarovskiy rayon,50.73603,58.90047
3466,24 Jul 1985,Douglas DC-6B,Fuerza A̩rea Colombiana,80,32 km N of Leticia,dst,CO,,Leticia,-4.2089,-69.93811
3470,2 Aug 1985,Lockheed L-1011 TriStar 1,Delta Air Lines,135,"Dallas/Fort Worth International Airport, TX (DFW)",dst,US,TX,Dallas,32.92583,-97.0441
3474,12 Aug 1985,Boeing 747SR-46,Japan Air Lines - JAL,520,"26 km SW of Ueno Village, Tano district, Gunma Prefecture",dst,JP,10,Ueno-mura,36.0832,138.7773
3484,22 Aug 1985,Boeing 737-236,British Airtours,55,Manchester International Airport (MAN),dst,GB,ENG,Manchester,53.36215,-2.27099
3491,4 Sep 1985,Antonov An-26,Bakhtar Afghan Airlines,52,18 km W of Kandahar,w/o,GB,ENG,Marlborough,51.48409,-1.61706
3527,24 Nov 1985,Boeing 737-266,EgyptAir,60,Malta-Luqa Airport (MLA),w/o,MT,,Luqa,35.84953,14.49637
3538,12 Dec 1985,McDonnell Douglas DC-8-63CF,Arrow Air,256,"1 km SW of Gander Airport, NL (YQX)",dst,CA,NL,Gander,48.96989,-54.62169
